record_id,title,evidence_status,primary_source,secondary_source,creator_verified,date_verified,locality_verified,description_verified,historical_significance_verified,rights_checked,provenance_checked,community_authority_checked,conflicting_information,unresolved_questions,final_decision,verification_notes
ARED-GH-00018,Asafo Flags from Ghana exhibition,source_checked,https://mingei.org/exhibitions/asafo-flags-from-ghana,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Acquire exhibition checklist, donor records, provenance and object photography.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00019,Adinkra prestige cloth,source_located,https://www.metmuseum.org/art/collection/search/687569,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Identify motif names, maker locality, use, provenance and relationships to living Adinkra workshops.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00020,Kola nut dyed and stamped pattern cloth (Adinkira),source_located,https://www.metmuseum.org/art/collection/search/711933,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Identify maker, place, pattern names and collection history.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00021,Geometric Akan gold weight,source_located,https://www.metmuseum.org/art/collection/search/317674,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Connect geometric form to weight value, terminology, casting practice and local interpretation.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00022,Sankofa bird gold weight,source_located,https://www.britishmuseum.org/collection/object/E_Af1947-13-138,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Document weight value, proverb variants, production locality and acquisition history.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00023,Asante silk kente man's wrap,source_checked,https://www.britishmuseum.org/collection/object/E_Af2004-04-1,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Identify cloth name, weaving centre, weaver, commissioner, occasion and provenance.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00024,Ewe kente cloth from Keta area,source_located,https://www.britishmuseum.org/collection/object/E_Af1982-33-1,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Recover cloth name, exact community, weaver, use and acquisition circumstances.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00025,Ewe kente cloth converted into gown,source_checked,https://www.britishmuseum.org/collection/object/E_Af1966-01-12,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Trace maker, conversion history, wearer and acquisition context.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00026,National Museum of Ghana institutional record,source_checked,https://www.ghanamuseums.org/,https://en.wikipedia.org/wiki/National_Museum_of_Ghana,no,no,no,no,no,no,no,no,,"rights_review_required; Negotiate collection data access and identify relevant holdings, acquisition histories and image rights.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_1.
ARED-GH-00027,KNUST Department of Communication Design,source_checked,https://decode.knust.edu.gh/,https://cabe.knust.edu.gh/about-us,no,no,no,no,no,no,no,no,,"rights_review_required; Build a chronology of programmes, staff, curricula, workshops, technologies, exhibitions and alumni.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_3.
ARED-GH-00028,KNUST Department of Publishing Studies,source_checked,https://cabe.knust.edu.gh/about-us,https://cabe.knust.edu.gh/postgraduate-programmes,no,no,no,no,no,no,no,no,,"rights_review_required; Collect curriculum histories, publications, staff archives, student books and printer networks.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_3.
ARED-GH-00029,Kumasi Technical University Department of Graphic Design,source_checked,https://kstu.edu.gh/academics/programmes/bachelor-arts-communication-design,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; rights_review_required; Trace departmental history, predecessor programmes, staff, print workshops and alumni.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00030,The place of graphic design in national development,source_located,https://ir.knust.edu.gh/handle/123456789/3433,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Extract full author, year, abstract, departmental context and cited Ghanaian practitioners.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00031,Packaging design and production research corpus at KNUST,source_located,https://ir.knust.edu.gh/bitstreams/34f8772d-afed-48a1-ac82-2bdd5642c136/download,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Create an index of Ghanaian packaging theses, named firms, designers, products and production technologies.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00032,Graphic design studio assessment research at KNUST,source_located,https://ir.knust.edu.gh/bitstream/123456789/7203/1/DEVELOPING%20INNOVATIVE%20ASSESSMENT%20STRATEGY.pdf,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Index historical curricula, staff references and examples of student work discussed in the research.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00033,Department of Communication Design staff and alumni authority cluster,source_checked,https://decode.knust.edu.gh/,https://webapps.knust.edu.gh/staff/dirsearch/profile/summary/c923328f2713.html,no,no,no,no,no,no,no,no,,"Create individual authority records, oral histories, course histories and alumni networks.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_3.
ARED-GH-00034,Gold Coast and Ghana newspaper visual culture research field,source_checked,https://ugspace.ug.edu.gh/server/api/core/bitstreams/59700028-9331-48ac-ac16-dd4633c26f0d/content,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Inventory titles, dates, printers, mastheads, cartoonists, typefaces, advertisements and censorship histories.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00035,Daily Graphic visual archive,source_checked,https://ugspace.ug.edu.gh/bitstreams/360d9dae-7463-414b-80b5-dc4d38cdc5a9/download,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; rights_review_required; Negotiate issue-level digitisation and identify art directors, layout staff, cartoonists and photographers.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00036,Colonial map and survey graphics research field,source_located,https://www.clientearth.org/media/gzuf1ykj/ghana-mining-briefing-1.pdf,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; source_is_tier_4_lead_only; Identify map series, survey offices, draftspeople, printers and land/mineral-rights visual conventions.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_4.
ARED-GH-00037,Colonial and postcolonial postage stamp design research field,source_located,https://www.ghanamuseums.org/,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; source_is_tier_4_lead_only; Build a complete issue chronology with designer, printer, subject, denomination and image rights.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_4.
ARED-GH-00038,Currency and banknote design research field,source_located,https://www.bog.gov.gh/,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Catalogue every issue, designer/printer, iconography, revisions and political context.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_1.
ARED-GH-00039,Ghanaian hand-painted cinema poster visual system,source_located,https://mingei.org/,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; source_is_tier_4_lead_only; rights_review_required; Build artist authority records, video-club histories, dated poster records and distinctions between use-period and export-market works.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_4.
ARED-GH-00040,Sign painting and public lettering in Ghana,source_checked,https://www.sil.si.edu/DigitalCollections/locally_hosted/Exploring_Identity_Art_of_El_Anatsui_and_Kwesi_Owusu_Ankomah.pdf,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; rights_review_required; Map workshops, named painters, lettering styles, apprenticeship, materials, commissions and disappearing signs.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00041,Funeral poster and programme visual culture,source_located,https://ared.design/,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Collect consented examples across regions and decades, map printers and document changing visual conventions.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00042,Religious poster and banner visual culture,source_located,https://ared.design/,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; rights_review_required; Map denominational styles, named studios, printer networks, iconography and platform changes.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00043,Music cover and concert-poster visual culture,source_located,https://ared.design/,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; rights_review_required; Build label and designer histories, date releases, scan covers and identify photographers and printers.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00044,"Political poster, party emblem and campaign graphic visual culture",source_located,https://ared.design/,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; Catalogue CPP and later party graphics, named designers, printers, symbols, election cycles and local variants.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00045,Posuban shrine visual system,source_located,https://www.brooklynmuseum.org/objects/188917,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,no,no,no,no,no,no,no,required,,"community_authority_required; Map every surviving posuban, company colours, inscriptions, makers, restoration histories and linked flags.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary URL responded. Source classified tier: tier_1.
ARED-GH-00046,Sirigu women’s wall-painting visual system,source_located,https://ared.design/,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Document makers, motif vocabularies, material preparation, house ownership, restoration and transmission.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00047,Ga fantasy coffin design field,source_located,https://ared.design/,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Create workshop genealogies and object records with commission, maker, funeral, symbolism and later museum custody.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00048,Ghanaian digital flyer and social-media design field,source_located,https://ared.design/,,no,no,no,no,no,no,no,no,,"missing_second_independent_source; rights_review_required; Develop ethical capture workflows for born-digital graphics, deleted posts, metadata and designer attribution.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
ARED-GH-00049,Ghanaian design education institutional genealogy,source_checked,https://cabe.knust.edu.gh/,https://decode.knust.edu.gh/,no,no,no,no,no,no,no,no,,"rights_review_required; Build timelines for institutions, programme names, staff, technologies, reading lists, exhibitions and alumni.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL responded. Secondary URL responded. Source classified tier: tier_1.
ARED-GH-00050,ARED History of Graphic Design in Ghana master collection,source_located,https://ared.design/,,no,no,no,no,no,no,no,required,,"missing_second_independent_source; community_authority_required; Grow the verified catalogue through Ghana-based partnerships, community governance and source-critical research.",manual_review_required,Automated check only. CSV claims not treated as evidence. Primary URL failed or missing. Secondary source not confirmed. Source classified tier: tier_3.
